objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
33922,SMP,"20103523",SMP Negeri 109 JAKARTA,Jl. Kesehatan No.105,-6.252600000000000,106.914500000000004,,"228"
33961,SMP,"20103592",SMP NEGERI 80 JAKARTA,Jl. Kayatun Trikora,-6.249500000000000,106.883899999999997,,"105"
34051,SMP,"20103519",SMP Negeri 135,Jl. Teluk Palu No. 35,-6.241900000000000,106.905500000000004,,"231"
34076,SMP,"20103581",SMP NEGERI 252 JAKARTA,Jl. Haji Naman,-6.239800000000000,106.942800000000005,,"184"
34086,SMP,"20103522",SMP Negeri 117,Jl. Taruna Pahlawan Revolusi,-6.239100000000000,106.895700000000005,,"204"
34091,SMP,"20103598",SMP Negeri 51,Jl. Kejaksaan Kavling,-6.238500000000000,106.903300000000002,,"190"
34146,SMP,"20103608",SMP Negeri 194,Jl. Pendidikan Komp. IKIP IX,-6.234600000000000,106.921000000000006,,"235"
34186,SMP,"20103604",SMP Negeri 199,Jl. Arabika VIII Blok AC3,-6.231900000000000,106.944599999999994,,"117"
34192,SMP,"20103607",SMP NEGERI 195 JAKARTA,Jl. Sawah Barat No. 48,-6.231000000000000,106.909599999999998,,"120"
34208,SMP,"20103511",SMP Negeri 149,Jl. Cipinang Besar Selatan,-6.230100000000000,106.882099999999994,,"133"
34263,SMP,"20103571",SMP NEGERI 27 JAKARTA,Jl. Komp. Ptb Duren Sawit,-6.225500000000000,106.915000000000006,,"124"
34267,SMP,"20103597",SMP NEGERI 52 JAKARTA,Jl. Cipinang Elok II,-6.225300000000000,106.886600000000001,,"100"
34271,SMP,"20103639",SMP Negeri 165,Jl. Balai Rakyat III No.16,-6.225100000000000,106.902600000000007,,"185"
34287,SMP,"20103635",SMP NEGERI 213 JAKARTA,Jl. Malaka I Perumnas Klender,-6.223500000000000,106.928899999999999,,"147"
34290,SMP,"20103619",SMP NEGERI 167 JAKARTA,Jl. Lingkar Duren Sawit Timur,-6.223300000000000,106.917900000000003,,"200"
34295,SMP,"20103580",SMP Negeri 255,Jl. Radin Inten II Duren Sawit,-6.222700000000000,106.922899999999998,,"139"
34306,SMP,"20103517",SMP NEGERI 139 JAKARTA,Jl Bunga Rampai X Perumnas Klender,-6.221800000000000,106.933499999999995,,"84"
34347,SMP,"20103623",SMP Negeri 243,Jl. Cipinang Jaya II,-6.219000000000000,106.885199999999998,,"224"
34348,SMP,"20103512",SMP NEGERI 148 JAKARTA,Jl. Bb I,-6.218900000000000,106.894999999999996,,"137"
34349,SMP,"20103602",SMP Negeri 25,Jl. BB. I. Cipinang Muara,-6.218800000000000,106.895600000000002,,"194"
34362,SMP,"20103616",SMP Negeri 172,Jl. Stasiun Cakung,-6.218100000000000,106.951400000000007,,"217"
34380,SMP,"20103596",SMP NEGERI 6 JAKARTA,Jl. Bulak Timur I/7,-6.215800000000000,106.907100000000000,,"186"
34404,SMP,"20103605",SMP Negeri 198,Jl. Pertanian Klender,-6.213900000000000,106.897199999999998,,"119"
34465,SMP,"20103489",SMP Negeri 158,Jl. TB.Badarudin,-6.208900000000000,106.897499999999994,,"111"
34477,SMP,"20103601",SMP NEGERI 44 JAKARTA,Jl. Gading Raya VII,-6.207700000000000,106.882599999999996,,"115"
34495,SMP,"20103626",SMP Negeri 236,Jl. Raya Penggilingan KOMPLEK PIK,-6.206100000000000,106.931100000000001,,"115"
34506,SMP,"20103518",SMP NEGERI 138 JAKARTA,Jl. P Komarudin,-6.205600000000000,106.941500000000005,,"200"
34518,SMP,"20107180",SMP NEGERI 284 JAKARTA,Jl. Raya Rawa Bebek,-6.204600000000000,106.965699999999998,,"135"
34526,SMP,"20103629",SMP Negeri 232,Jl. Gading Raya No. 16,-6.202900000000000,106.882400000000004,,"114"
34554,SMP,"20103587",SMP Negeri 92,Jl. Perhubungan XII Rawamangun,-6.199900000000000,106.899299999999997,,"167"
34562,SMP,"20103589",SMP Negeri 90,JL. RAYA BEKASI  KM. 18,-6.199400000000000,106.906899999999993,,"122"
34640,SMP,"20103593",SMP Negeri 74,Jl. Pemuda No.6 dan Jl.Mustika Jaya,-6.193200000000000,106.887200000000007,,"84"
34678,SMP,"20103618",SMP Negeri 168,Jl. P. Komarudin Buaran Cakung,-6.191400000000000,106.942999999999998,,"245"
34738,SMP,"20103565",SMP Negeri 99,Jl. Sirap,-6.185700000000000,106.887299999999996,,"136"
34759,SMP,"20103609",SMP Negeri 193,Jl. Irigasi Ujung Menteng Cakung,-6.184600000000000,106.963399999999993,,"125"
34786,SMP,"20103514",SMP NEGERI 146 JAKARTA,Jl.balai Rakyat,-6.182400000000000,106.960599999999999,,"168"
34789,SMP,"20103579",SMP NEGERI 256 JAKARTA,Jl. Balai Rakyat,-6.182200000000000,106.957400000000007,,"191"
34801,SMP,"20103515",SMP Negeri 144,Jl. Raya Bekasi Km. 23 Cakung,-6.181300000000000,106.938900000000004,,"237"
34843,SMP,"20100767",SMP Negeri 170,Jl. Kepu Pegangsaan Dua No. 17,-6.178200000000000,106.913499999999999,,"117"
34863,SMP,"20100742",SMP NEGERI 270 JAKARTA,Jl. Kompi Udin,-6.176600000000000,106.911500000000004,,"98"
34877,SMP,"20103627",SMP Negeri 234,"Jl. Kayu Tinggi Cakung Timur, Cempaka IV",-6.175300000000000,106.951099999999997,,"123"
34946,SMP,"20100760",SMP NEGERI 123 JAKARTA,Jl. Kelapa Gading I Komp. PT. HII,-6.170000000000000,106.914400000000001,,"242"
35000,SMP,"20103574",SMP Negeri 262,Jl. Kayu Tinggi Cakung Timur,-6.165100000000000,106.954800000000006,,"165"
35141,SMP,"69800097",SMP NEGERI 289 JAKARTA,"JALAN TIPAR CAKUNG, DESA SUKAPURA",-6.153700000000000,106.935900000000004,,"165"
35259,SMP,"20100769",SMP Negeri 200,Jl. Rorotan IX No. 2,-6.142400000000000,106.952500000000001,,"91"
35307,SMP,"20106716",SMP NEGERI 136 JAKARTA,Jl. Bendungan Melayu No. 80,-6.138200000000000,106.908199999999994,,"206"
35338,SMP,"20100718",SMP NEGERI 113 JAKARTA,Jl. Kp. Bandan Ancol,-6.135300000000000,106.831900000000005,,"131"
35347,SMP,"20100751",SMP NEGERI 65 JAKARTA,Jl. Metro Kencana Raya Sunter,-6.134200000000000,106.873699999999999,,"102"
